PB_DANE,Cluster,INDICADOR,Depositos_cuenta_corriente_bancaria,Total_Numero_Transacciones_corresponsal_movil,Creditos_vivienda,Total_Monto_Credito_consumo,Total_Monto_Microcredito,Cuentas_ahorro_especial,Porc_trabajos_formales,Total_Monto_Credito_vivienda,Total_Numero_Credito_consumo,Total_Numero_corresponsales_moviles,CodigoM,Municipio,Codigo_Entidad,Cobertura_edu_total,Cobertura_edu_media,Tasa_repitencia,Total_Saldo_Cuentas_Ahorro,Certificados_deposito_termino,Provision_general
73168,0,0.18344055944048485,28532.90386682,0.0,114508.16748993,33534.94540671,36427.9430576,322.23610491000005,0.10310000000000001,5668.09864381,16004.0,1.0,73168,CHAPARRAL,73168,88.82,41.23,1.95,346898378522.67004,125892193013.41,1922533400.49
73616,0,0.2052038284296129,6987.60858355,0.0,1877.394916,1093.95325417,11336.49189,0.0,0.0418,258.97506,401.0,0.0,73616,RIOBLANCO,73616,83.5,35.89,1.95,63167772249.19,8205247843.28,1860658068.03
76001,2,0.29968817605363707,15556801.38025432,205252.0,39161672.99608138,10810576.4623955,427494.17723121995,313013.64609348,0.4132,2364046.4170319103,7127655.0,526.0,76001,CALI,76001,81.73,50.11,6.72,58797639485135.06,55724014095044.164,266411540379.39
76109,0,0.18563956043945,722692.51813689,159.0,382162.75263084995,310686.29758532,35964.38533404,4786.885038189999,0.1112,20444.83045084,104818.0,19.0,76109,BUENAVENTURA,76109,72.67,34.97,5.15,1987895699725.36,881337469464.12,3800858874.53
76147,6,0.1406769230769,376719.06813179,4153.0,767658.21881448,221586.37913032,38341.69690526999,24387.832873569998,0.2482,30660.83452336,166561.0,135.0,76147,CARTAGO,76147,75.34,46.5,5.73,1285190839888.57,1149408657648.05,5783245959.26
76306,0,0.15776026983471875,12131.19261608,0.0,21427.93107081,13595.3461927,1430.77946051,7.28313548,0.09699999999999999,2118.466358,5320.0,1.0,76306,GINEBRA,76306,82.11,55.42,8.59,49402751577.66,60079561671.96001,406001933.47
76834,6,0.13461538461525,609304.58212418,88.0,939966.6381947299,375031.18573728,77955.62943344,15635.32523072,0.2076,221144.97858147,231240.0,19.0,76834,TULUA,76834,72.69,49.91,6.56,2726054680054.17,1416476139145.98,7586195906.46
81001,6,0.20177917320771427,613053.21661448,1172.0,191290.21828895,122299.42155326999,37396.140601989995,1891.52269338,0.2434,7675.790625,52482.0,31.0,81001,ARAUCA,81001,103.46,43.95,4.68,1455086167737.5,323932095117.04,2787485000.21
85001,6,0.14285714285707143,838145.40451308,5221.0,897478.39574742,437770.47421499,75232.90626455999,22185.22606125,0.5081,32805.39973861,291318.0,36.0,85001,YOPAL,85001,100.03,53.77,7.69,4752583548703.39,1022125381353.55,8595642979.85
85162,0,0.21358571620328573,18513.20892461,0.0,6044.00593565,12436.020908370001,6028.20922257,24.00008936,0.1343,151.019948,3508.0,0.0,85162,MONTERREY,85162,87.75,49.26,6.24,149772273584.66,68987234663.93,758808586.04
86001,6,0.36538461538425004,349339.79235046,3.0,127026.78329096001,71193.14430936999,41883.226924940005,672.6197259500001,0.3189,5288.47482104,12849.0,4.0,86001,MOCOA,86001,83.34,43.42,6.62,1648811100496.98,338305702696.23,2860150100.42
